Title,URL,Description,Rating,Rating_Count,Genre
Maharaja,https://www.imdb.com/title/tt26548265/,"A barber seeks vengeance after his home is burglarized, cryptically telling police his &quot;lakshmi&quot; has been taken, leaving them uncertain if it&apos;s a person or object. His quest to recover the elusive &quot;lakshmi&quot; unfolds.",8.5,54632,"Action, Crime, Drama"
Manjummel Boys,https://www.imdb.com/title/tt26458038/,"A group of friends get into a daring rescue mission to save their friend from Guna Caves, a perilously deep pit from where nobody has ever been brought back.",8.2,23461,"Adventure, Drama, Thriller"
Meiyazhagan,https://www.imdb.com/title/tt26758372/,A man&apos;s life is changed when he bumps into someone from his hometown in this moving Tamil-language drama; gentle scenes are occasionally punctuated by sporting threat and recollections of violence.,8.4,9947,"Drama, Family"
Aavesham,https://www.imdb.com/title/tt26660021/,Three teenagers reach Bangalore for their engineering degree and gets involved in a fight with seniors. They find a local gangster named Ranga to help them take revenge.,7.8,22679,"Action, Comedy"
Vaazhai,https://www.imdb.com/title/tt23782140/,"A twelve-year-old boy, Sivanandhan, his mother, sister, and friend navigate life&apos;s challenges, where a plantain tree, Vaazhai, becomes a central presence.",7.8,3794,Drama
Laapataa Ladies,https://www.imdb.com/title/tt21626284/,"The misadventures of two young brides who get lost from the same train. From mistaken identities to laugh-out-aloud escapades, the ensuing chaos guarantees laughter galore and heartwarming moments.",8.4,45410,"Comedy, Drama"
Lubber Pandhu,https://www.imdb.com/title/tt27007466/,"Set against the rural backdrop, explores gully cricket stars Gethu and Anbu&apos;s intense rivalry. Anbu&apos;s romantic involvement with Gethu&apos;s daughter escalates the clash. Their skills and emotions are put to the ultimate test.",8.2,4354,"Comedy, Drama, Sport"
Bramayugam,https://www.imdb.com/title/tt27431598/,"Thevan, a folk singer of the Paanan caste, has a fateful encounter when escaping slavery, leading to him discovering an ancient traditional mansion altering his destiny.",7.8,12287,"Drama, Horror, Thriller"
Kishkindha Kaandam,https://www.imdb.com/title/tt15980138/,"Strange events unfold in a monkey-inhabited village, prompting a newlywed pair and forest officials to embark on a mission to uncover the root cause of the peculiar disturbances.",8.2,5704,"Drama, Mystery, Thriller"
Aattam,https://www.imdb.com/title/tt27302079/,"After a party amongst a theatre group, their sole actress, Anjali is subjected to a crime from one of the men in the group. A meeting is called for. In trying to reach a consensus, stories unravel, suspicions surface and clamour e...",8.2,3976,"Drama, Mystery, Thriller"
Kalki 2898-AD,https://www.imdb.com/title/tt12735488/,The future of those in the dystopian city of Kasi is altered when the destined arrival of Lord Vishnu&apos;s final avatar launches a war against darkness.,7.0,60023,"Action, Adventure, Drama"
Amaran,https://www.imdb.com/title/tt27118357/,"The life of Major Mukund Varadarajan and is set against the backdrop of the Qazipathri Operation in Shopian, Kashmir, which took place back in 2014.",8.5,9188,"Action, Biography, Drama"
Hanu Man,https://www.imdb.com/title/tt15433956/,An imaginary place called Anjanadri where the protagonist gets the powers of Hanuman and fights for Anjanadri.,7.8,27840,"Action, Adventure, Fantasy"
Shakhahaari,https://www.imdb.com/title/tt30890061/,Centers on the unexpected intertwining of innocent lives leading to a murder mystery in a vegetarian restaurant run by Chef Subbanna.,7.6,1164,"Crime, Thriller"
Kill,https://www.imdb.com/title/tt28259207/,"During a train trip to New Delhi, a pair of commandos face an army of invading bandits.",7.6,32875,"Action, Crime, Drama"
Aaram Aravinda Swamy,https://www.imdb.com/title/tt25503698/,Arvind is a recovery agent torn between his girlfriend&apos;s desire to marry and his fear of commitment. His avoidance sparks a comedic chain of events that challenge his escapist ways as he navigates love and responsibility.,9.3,294,"Comedy, Romance"
Lucky Baskhar,https://www.imdb.com/title/tt27540542/,A cash-strapped cashier working at a bank embarks on a risky investment scheme and soon gets drawn into the murky world of money laundering.,8.2,6594,"Crime, Drama, Thriller"
Sookshma Darshini,https://www.imdb.com/title/tt32495687/,"Manuel returns with his mother to their former home in a middle-class neighbourhood. Suspicious of his intentions, Priyadarshini and her friends begin gathering clues, convinced he may be hiding something sinister.",8.4,1994,Thriller
Premalu,https://www.imdb.com/title/tt28288786/,"Sachin&apos;s quest for love takes unexpected turns, creating a laughter-filled love triangle.",7.8,16409,"Comedy, Romance"
Love Reddy,https://www.imdb.com/title/tt29491755/,Narayana Reddy who finds himself entangled in a web of emotions as his uncertain love life takes unexpected turns.,9.1,1866,Romance
Chandu Champion,https://www.imdb.com/title/tt27470893/,A man who faced one adversary after another with an undying spirit. His unwavering zeal and never give up attitude led to India&apos;s first individual gold medal in any form of the Olympics.,7.9,32513,"Action, Biography, Drama"
Maidaan,https://www.imdb.com/title/tt10869778/,"Inspired by the Indian national football team coach and manager Syed Abdul Rahim, who is regarded as the architect of Indian football.",8.0,21652,"Biography, Drama, History"
Committee Kurrollu,https://www.imdb.com/title/tt29959142/,"In a peaceful West Godavari village, the harmony of a close-knit friend group is disrupted when a disagreement leads to an unexpected fallout, impacting their lives and the tranquility of their community.",8.7,2927,Drama
Amar Singh Chamkila,https://www.imdb.com/title/tt26658272/,"Follows the life of pop star duo Amar Singh Chamkila and Amarjot Kaur, whose songs that were social commentaries or devotionals became massive hits in the 80&apos;s.",7.8,15502,"Biography, Drama, Music"
All We Imagine as Light,https://www.imdb.com/title/tt32086077/,"In Mumbai, Nurse Prabha&apos;s routine is troubled when she receives an unexpected gift from her estranged husband. Her younger roommate, Anu, tries in vain to find a spot in the city to be intimate with her boyfriend.",7.3,1820,"Drama, Romance"
Stree 2: Sarkate Ka Aatank,https://www.imdb.com/title/tt27510174/,"After the events of Stree, the town of Chanderi is being haunted again. This time, women are mysteriously abducted by a terrifying headless entity. Once again, it&apos;s up to Vicky and his friends to save their town and loved ones.",7.0,36200,"Comedy, Horror"
Jigra,https://www.imdb.com/title/tt26733317/,"It is a heart wrenching tale of a sister taking on the world to avenge her brother. Their odyssey of reunification tests their bond, their morals, and their inner strengths. Who wouldn&apos;t set the world on fire to protect what&apos;s the...",7.0,17405,"Action, Drama, Thriller"
Blink,https://www.imdb.com/title/tt19874970/,"Apoorva hides his failed MA from his mother in Bengaluru. Working odd jobs and relying on Swapna, his ability to control blinking becomes a curse when an old man says his father lives.",7.2,1156,"Sci-Fi, Thriller"
The Goat Life,https://www.imdb.com/title/tt5525650/,"An Indian man seeking work follows a job lead to Saudi Arabia, only to find himself forced to labor without pay as a goat herder in the remote desert.",7.1,44768,"Adventure, Drama"
Murphy,https://www.imdb.com/title/tt14780126/,Ordinary guy David&apos;s life takes an extraordinary turn after interacting with his late grandfather&apos;s peculiar radio.,9.0,2068,Romance
Article 370,https://www.imdb.com/title/tt30970235/,"Ahead of a major constitutional decision, special agent Zooni Haksar is tasked with a secret mission to quell violence in a conflict-ridden region.",7.8,23458,"Action, Drama, Thriller"
KTM,https://www.imdb.com/title/tt14045080/,Karthik seeks love through several attempts. Will he find his destined partner or face continued failure?,7.4,2176,Drama
Vaazha: Biopic of a Billion Boys,https://www.imdb.com/title/tt29470244/,"Four friends deemed &apos;losers&apos; face immense pressure from parents and society upon entering adulthood. Their emotional tale sees them embark on a journey of self-discovery and acceptance, where love ultimately triumphs over judgment.",7.3,2842,Drama
Madgaon Express,https://www.imdb.com/title/tt26745657/,The journey of three childhood friends who embark on a trip to Goa that goes completely off-track,7.0,39337,"Comedy, Drama"
Bhairathi Ranagal,https://www.imdb.com/title/tt15056920/,"Bhairathi Ranagal delves into the story of Ranagal. How did he rise to such prominence? The film focuses on his origin, his journey to power, and who he was before he became the most dreaded gangster of Ronapura.",7.9,685,Drama
Swag,https://www.imdb.com/title/tt28351127/,Follows the swaganika bloodline which changes the matriarchal society to patriarchal society.,7.7,2797,"Comedy, Drama"
